Trddt,AutoCorr,Stkcd
2005-01-04,0.3562544210775196,1
2005-01-05,0.8476699862566018,1
2005-01-06,0.6747923116238397,1
2005-01-10,0.9221329016661336,1
2005-01-18,0.8169647723349008,1
2005-01-19,0.7529046931911415,1
2005-01-20,0.9031413440574636,1
2005-01-21,0.8152329008367425,1
2005-01-24,0.7466066196349179,1
2005-01-26,0.8606602620685803,1
2005-01-27,0.5793880115616448,1
2005-01-31,0.8260452779784196,1
2005-02-01,0.9591811074153822,1
2005-02-02,0.8712069996727475,1
2005-02-03,0.8021766423659081,1
2005-02-04,0.9073091887380004,1
2005-02-16,0.6943789788726059,1
2005-02-18,0.9173858206663432,1
2005-02-21,0.8779492452668661,1
2005-02-22,0.9572926810097342,1
2005-02-23,0.9373376062094608,1
2005-02-24,0.911535014784332,1
2005-02-28,0.8036613772851113,1
2005-03-04,0.7791801146850361,1
2005-03-09,0.9005673255783199,1
2005-03-14,0.9346463621347204,1
2005-03-16,0.9499387284855304,1
2005-03-21,0.7622422031540291,1
2005-03-22,0.9414909028370672,1
2005-03-23,0.9292127080306308,1
2005-03-24,0.8811777547922293,1
2005-03-28,0.9103438000693972,1
2005-03-30,0.9424026511752992,1
2005-04-04,0.911553997819342,1
2005-04-05,0.9322928647453465,1
2005-04-06,0.9225409064495428,1
2005-04-08,0.9733352421532516,1
2005-04-11,0.8522980065150476,1
2005-04-12,0.8110691170891305,1
2005-04-13,0.9461367560738396,1
2005-04-14,0.9019843205796256,1
2005-04-15,0.9462623956884536,1
2005-04-18,0.805686456445738,1
2005-04-19,0.8798764577978146,1
2005-04-20,0.8928618025051378,1
2005-04-25,0.9311797415738,1
2005-04-27,0.662413820963595,1
2005-04-28,0.9284600804690772,1
2005-04-29,0.9429069526673958,1
2005-05-09,0.8907047228782884,1
2005-05-10,0.8668011069027846,1
2005-05-11,0.6989115314434705,1
2005-05-12,0.8401419806688253,1
2005-05-13,0.8136805504198836,1
2005-05-16,0.714189272371684,1
2005-05-17,0.9517191331642896,1
2005-05-18,0.9416512143904572,1
2005-05-19,0.9646871515993216,1
2005-05-20,0.7925606992719438,1
