Trddt,rvp,rvn,rv,RSJ,Stkcd
2005-01-04,0.0001696406559091,0.0003503420230886,0.0005199826789977,-0.3475142047574198,1
2005-01-05,0.0001879307795625,0.0002551589082098,0.0004430896877723,-0.1517257803612695,1
2005-01-06,0.0001087207701597,0.0001156724108198,0.0002243931809795,-0.0309797322260085,1
2005-01-10,0.000201620424114,0.0002142626880558,0.0004158831121698,-0.0303985989617069,1
2005-01-18,0.0001761722710673,0.0001342804758821,0.0003104527469495,0.1349377500981321,1
2005-01-19,7.069948360093905e-05,0.0001537225885,0.0002244220721009,-0.3699417981567781,1
2005-01-20,4.953409534729057e-05,0.0001721433267426,0.0002216774220899,-0.5530975154773162,1
2005-01-21,0.0029634580691281,0.0004998816159599,0.003463339685088,0.7113297213598246,1
2005-01-24,0.0001831710310387,0.0006420004504536,0.0008251714814923,-0.556041295301505,1
2005-01-26,0.0002933112517494,0.0001599602119516,0.0004532714637011,0.2941968565788552,1
2005-01-27,7.692329495221041e-05,0.000167425183699,0.0002443484786512,-0.3703804060757232,1
2005-01-31,0.0002641350729876,0.0003183386075331,0.0005824736805208,-0.0930574828668282,1
2005-02-01,0.0002203288937703,0.0001305610520506,0.000350889945821,0.2558290506433082,1
2005-02-02,0.0005370967465627,0.0001355215772012,0.000672618323764,0.5970327527121286,1
2005-02-03,0.0002738916729933,0.000298260793278,0.0005721524662713,-0.042592004266825,1
2005-02-04,0.0010044873172058,0.0002005136626103,0.0012050009798162,0.6671975110908991,1
2005-02-16,0.0001965422658925,0.0003392182592898,0.0005357605251824,-0.2663055351991725,1
2005-02-18,0.0001414693638315,0.0001027908987423,0.0002442602625739,0.1583493961793549,1
2005-02-21,0.0002382420425659,0.0001645979786682,0.0004028400212341,0.182812183536503,1
2005-02-22,0.0002732295326248,0.0001599231657097,0.0004331526983346,0.261585273162904,1
2005-02-23,0.0001629434516071,0.0001255948237289,0.000288538275336,0.1294408093164238,1
2005-02-24,0.0001621009123702,0.0002186356738723,0.0003807365862426,-0.1484878615422639,1
2005-02-28,5.20810002275087e-05,0.0001240410710787,0.0001761220713062,-0.4085806527117684,1
2005-03-04,5.152126716538263e-05,6.389289950891995e-05,0.0001154141666743,-0.107193360226305,1
2005-03-09,8.124702921565556e-05,0.0001314566734112,0.0002127037026268,-0.236054396681771,1
2005-03-14,0.0001476113139585,0.0001264833610882,0.0002740946750467,0.0770826827142438,1
2005-03-16,0.0001552615454892,0.0001863090864872,0.0003415706319764,-0.0908964006018329,1
2005-03-21,0.0001613196429936,0.000116087188018,0.0002774068310117,0.1630545823641133,1
2005-03-22,0.0002451860372523,0.0008594832649736,0.001104669302226,-0.5560915166950666,1
2005-03-23,0.0003167057665486,0.0006542972815552,0.0009710030481038,-0.3476729714349119,1
2005-03-24,0.0002599496722648,0.0001664771086944,0.0004264267809592,0.2191995619041207,1
2005-03-28,0.0001350274461289,0.0002340426408276,0.0003690700869566,-0.2682829039740105,1
2005-03-30,0.0002571036286997,0.0004918012486362,0.0007489048773359,-0.3133877572962302,1
2005-04-04,0.0006125695144815,0.0004069439135491,0.0010195134280306,0.201689938826587,1
2005-04-05,0.0003294084785616,0.000152098657243,0.0004815071358047,0.3682392391178139,1
2005-04-06,0.0007340700336585,0.0003782731241501,0.0011123431578087,0.3198625415283782,1
2005-04-08,0.0021744977781558,0.0005827501198907,0.0027572478980466,0.5772958098518444,1
2005-04-11,0.003245298863181,0.0022711310379283,0.0055164299011094,0.1765938918315224,1
2005-04-12,0.0004663432307629,0.0005355526385484,0.0010018958693114,-0.0690784440832608,1
2005-04-13,0.00123973265284,0.0008581018380315,0.0020978344908715,0.1819165508380497,1
2005-04-14,0.0004250666097894,0.0010397505785079,0.0014648171882974,-0.4196318650745477,1
2005-04-15,0.0008929160189428,0.0006057707536559,0.0014986867725987,0.191597917948525,1
2005-04-18,0.0002692743361452,0.0004006544057934,0.0006699287419387,-0.1961105135867793,1
2005-04-19,0.0010541494603769,0.0002923306332593,0.0013464800936363,0.5657854362036359,1
2005-04-20,0.000762566119308,0.0006268689465528,0.0013894350658608,0.0976635584413887,1
2005-04-25,0.0010865597802077,0.0012377313012875,0.0023242910814952,-0.0650398404414031,1
2005-04-27,0.0006310593195136,0.0012824554369781,0.0019135147564918,-0.3404186538173087,1
2005-04-28,0.0015298320447894,0.0006283972110005,0.0021582292557899,0.4176733455774605,1
2005-04-29,0.002066579710441,0.000819242132209,0.00288582184265,0.4322295852770175,1
2005-05-09,0.0008931164533946,0.000967393249132,0.0018605097025266,-0.0399228209541056,1
2005-05-10,0.0011988742674661,0.0005947043286511,0.0017935785961172,0.3368516663406307,1
2005-05-11,0.0002834056158588,0.00043904103938,0.0007224466552388,-0.215428256733715,1
2005-05-12,0.0007292519409891,0.0005686878812002,0.0012979398221894,0.1237068599359583,1
2005-05-13,0.0007090302010068,0.0007920838424023,0.0015011140434091,-0.055328002399378,1
2005-05-16,0.0003197777812319,0.0006353876116421,0.0009551653928741,-0.3304242728691403,1
2005-05-17,0.0006570514011179,0.0002318054507396,0.0008888568518576,0.4784189371883719,1
2005-05-18,0.0002117615169554,0.0002089809832161,0.0004207425001715,0.0066086353012059,1
2005-05-19,0.0004264616702316,0.0002455756989613,0.000672037369193,0.2691605847565886,1
2005-05-20,0.0004244523746441,0.0003891621690328,0.0008136145436769,0.0433746002766998,1
2005-05-23,0.0002000510780908,0.0004919008762808,0.0006919519543717,-0.4217775473369766,1
2005-05-24,0.0006781793274939,0.0001527379057991,0.000830917233293,0.6323631291319104,1
2005-05-25,0.0001912701898228,0.0001867583577726,0.0003780285475954,0.0119351622488696,1
2005-05-26,0.0001657028293532,0.0001025135139545,0.0002682163433078,0.2355908466253693,1
2005-05-27,0.0002131345972872,0.0001432038089272,0.0003563384062144,0.1962482492495672,1
2005-05-30,0.0003612815814081,0.0004838069064027,0.0008450884878109,-0.144985201859664,1
2005-05-31,0.0001897029793924,0.0003001737157438,0.0004898766951363,-0.2255072295705334,1
2005-06-01,0.0001284322940571,0.0001258259266068,0.000254258220664,0.0102508679701684,1
2005-06-02,0.0003247912759134,0.0010057501372212,0.0013305414131347,-0.5117908052959091,1
2005-06-03,0.0010775229099142,0.0006438735137597,0.0017213964236739,0.251917216854056,1
2005-06-06,0.0007484525856325,0.0005919407895164,0.0013403933751489,0.1167655697333637,1
2005-06-07,0.0004665253646967,0.0002284427793038,0.0006949681440006,0.3425805735820476,1
2005-06-08,0.0018168370206872,0.0008246438967208,0.002641480917408,0.375620023384468,1
2005-06-09,0.0009129881024155,0.0007813205454647,0.0016943086478803,0.0777116714333928,1
2005-06-10,0.0023572490506717,0.0009291939328631,0.0032864429835349,0.434529101817108,1
2005-06-13,0.000708634065728,0.0006484929511135,0.0013571270168416,0.0443150227415548,1
2005-06-14,0.0003732599845562,0.0004908224205057,0.0008640824050619,-0.136054657820579,1
2005-06-15,0.0001810492831164,0.0004085290348544,0.0005895783179709,-0.385834663189219,1
2005-06-16,0.0005661402807176,0.0002055693004512,0.0007717095811688,0.4672366251048805,1
2005-06-20,0.0015322950109453,0.0009962068392348,0.0025285018501801,0.2120181053742357,1
2005-06-21,0.000400910148338,0.0003948437531245,0.0007957539014626,0.0076234564509736,1
