Trddt,beta,beta_n,beta_p,beta_mn,beta_mp,Stkcd
2005-01-04,1.2184555666295775,0.9939099844094108,0.3329149292973031,0.0810789701447605,0.0272903769323758,1
2005-01-05,1.3059697616541903,0.4807203644395447,0.8773609696819278,0.0299182593477291,0.0221933131195528,1
2005-01-06,1.276143226533812,0.9031179283335724,0.4742267791265098,0.0461449755040473,0.0550565054222232,1
2005-01-07,0.7685053529854498,0.1751511066972906,0.6559970526709965,0.0511315347866505,0.0115112715961868,1
2005-01-10,1.6202944391693823,0.8691508750276767,0.8653223372612984,0.051784006200415,0.0623947669191778,1
2005-01-12,1.3910146465498558,0.9912969266151572,0.6709707088448089,0.1241699594892652,0.1470830294208453,1
2005-01-13,0.4624664307655508,0.7075870442694531,0.3493041456629194,0.4726267653652521,0.1217979938015695,1
2005-01-14,1.1423491406033823,0.2988584008160525,0.8886137648424763,0.0101647516184622,0.0349582734366841,1
2005-01-17,0.6371397957535176,0.5165434552093152,0.207000769019024,0.0609701225001627,0.0254343059746587,1
2005-01-18,0.8901708225632927,0.2251641113954515,0.8805663621077341,0.1395719482102653,0.0759877027296276,1
2005-01-19,1.3794204575794258,1.1667780365366995,0.3928023218977275,0.1254066264385651,0.0547532744164361,1
2005-01-20,0.8497033512504139,0.6724694528617792,0.3250524810580065,0.0372623620084252,0.1105562206609465,1
2005-01-21,1.7913030328173212,0.4294502738140744,1.532364813158832,0.0094584552896374,0.1610535988659479,1
2005-01-24,1.4235958405048534,1.273019994741572,0.2150036357757646,0.0298884070679122,0.0345393829445709,1
2005-01-25,1.1044720088798596,0.7316075079591404,0.4847324107169144,0.0503890680582146,0.0614788417379805,1
2005-01-26,1.751590760121737,0.9856521246223316,0.9435451896765502,0.0392869978048271,0.1383195563723173,1
2005-01-27,0.8572064393909704,0.9161247280518046,0.2765102367951114,0.2170114380967092,0.1184170873592364,1
2005-01-28,1.258758087156017,0.5288461656377679,0.8610572967999957,0.0797975017857607,0.0513478734959861,1
2005-01-31,1.635569442592096,1.1287002681616607,0.7387876218639071,0.1564114512155325,0.0755069962179394,1
2005-02-01,1.1703729201757187,0.5239490804380049,0.8301915450109767,0.1083297049665916,0.0754380003066712,1
2005-02-02,1.078336772068961,0.1376335415089748,1.0138005436300923,0.0443280023894144,0.0287693106806916,1
2005-02-03,0.9178258224355575,0.5251208296471901,0.4452447450884463,0.0132010020714009,0.0393387502286778,1
2005-02-04,1.5596907736959846,0.3026192102594308,1.469995175988449,0.0497581009319889,0.1631655116199061,1
2005-02-16,1.4443856183589163,0.8100901848586186,0.7108062537028242,0.0295329409268292,0.046977879275697,1
