Trddt,beta,beta_n,beta_p,beta_mn,beta_mp,Stkcd
2005-04-08,2.478848954663598,0.6918865638879549,2.056669280562008,0.0471542494610455,0.2225526403253188,1
2005-04-11,3.423210819372392,2.0046404399785724,1.8299597244098047,0.1728816526482163,0.2385076923677693,1
2005-04-12,1.6337600810290536,1.2582605882583378,0.8877644447655265,0.2637090105622969,0.2485559414325139,1
2005-04-13,1.7432892788922858,1.095863177527784,1.1319537633092156,0.3671636631065603,0.1173639988381533,1
2005-04-14,2.013179475724488,1.9309625929579557,0.3538947803062591,0.2126614190407288,0.0590164784989978,1
2005-04-15,2.0572766074654343,1.2290086936167717,1.360266660596115,0.4073432146906487,0.1246555320568033,1
2005-04-18,2.5982722927949418,1.6926329549267016,1.0368058018523851,0.0474706481981367,0.0836958157860081,1
2005-04-19,1.3720232288413612,0.5700045352679448,1.2814323997112853,0.2842877438579345,0.1951259622799343,1
2005-04-20,1.681728001834374,1.5837378428026638,0.560463268959128,0.4012798333652178,0.0611932765621999,1
2005-04-22,2.600675887231389,1.5944463822343626,1.4193372927777308,0.1730685810997161,0.2400392066809879,1
2005-04-25,2.140074645417761,1.3154847165646826,1.560701514516061,0.4794348008549386,0.2566767848080442,1
2005-04-27,1.820817948140647,1.4349314815411314,0.8755734250729861,0.3810259045710596,0.1086610539024109,1
2005-04-28,2.130899547846545,0.409653055469538,1.7646864297943927,0.0252412244691484,0.0181987129482371,1
2005-04-29,3.085938706193398,0.98251776174505,2.198636087044105,0.0785261412611768,0.0166890013345795,1
2005-05-09,1.6760767962173695,1.4195313133706755,0.4555472561910644,0.1480021956069574,0.0509995777374132,1
2005-05-10,1.489147095653911,0.6259630490162253,1.0996203129516993,0.0976411148545167,0.1387951514594968,1
2005-05-11,1.2486711847195948,0.9925777660140664,0.5219451030300518,0.2361947229502081,0.0296569613743152,1
2005-05-12,1.731865749071036,1.0133734082592625,0.8272456074129094,0.0652345827171269,0.0435186838840087,1
2005-05-13,1.8198499252545337,0.7530796895715258,1.141234455657336,0.0443215840158493,0.0301426359584788,1
2005-05-16,1.7715809033823056,1.1646651428241337,0.7203302574602919,0.0731574849465716,0.0402570119555483,1
2005-05-17,1.5453802132787129,0.4323393048795486,1.135590096416014,0.0191973878232737,0.0033518001935761,1
2005-05-18,1.1302199360758594,0.5366027696932879,0.6972122944546997,0.0407618389251815,0.0628332891469466,1
2005-05-19,1.5150852139578717,0.5370895140219627,1.08650873987218,0.0717263835974746,0.0367866563387964,1
2005-05-20,1.9772457837646804,0.8278070077882195,1.3206254908753303,0.0689809527270476,0.1022057621718219,1
2005-05-23,1.8912715777722444,1.7032018371711677,0.3126807060027058,0.0602205896725933,0.0643903757290356,1
2005-05-24,1.5672044957969795,0.289313667144575,1.3613962940082018,0.0336290319996961,0.0498764333561011,1
2005-05-25,1.19157420227459,0.6427429876231963,0.6028256761524015,0.0047964340740808,0.0491980274269266,1
2005-05-26,1.1885388768950933,0.7064344831714564,0.5891025270486829,0.0568300932096748,0.0501680401153712,1
2005-05-27,1.1378836172911049,0.3447160241192523,0.8953785223679682,0.0614055285096283,0.0408054006864869,1
2005-05-30,1.055441547053974,0.3061475152210999,1.0243609993576854,0.2071949708599582,0.0678719966648532,1
2005-05-31,1.6373268938171934,0.9573409729510648,0.8022248035125953,0.0588413136850261,0.0633975689614408,1
2005-06-01,0.8565363933273442,0.6098864641444575,0.3209668177293845,0.0499213418316355,0.0243955467148622,1
2005-06-02,1.554485637385242,1.207530772723851,0.4834015838097451,0.1339485116002962,0.0024982075480573,1
2005-06-03,1.48676892349855,0.5915331833909676,0.943831397581249,0.01903665969936,0.0295589977743064,1
2005-06-06,1.4410623576396833,0.4806936614807509,1.0337824614959894,0.059076413187927,0.0143373521491299,1
2005-06-07,1.1275541150065913,0.3679770577019433,0.8018636292782577,0.0067536076141727,0.0355329643594368,1
2005-06-08,1.1809650390075372,0.2858810463504869,0.9053726104676332,0.0075327196843951,0.0027558981261877,1
2005-06-09,1.348607431444878,0.5893376367210965,0.7678704800154399,0.0074874367902453,0.001113248501413,1
2005-06-10,2.230911086818798,0.911877169031506,1.4543253399983591,0.1086205708831592,0.0266708513279084,1
2005-06-13,1.6467262118277783,0.6920452977780926,1.0402274475498352,0.0445199824369714,0.0410265510631779,1
2005-06-14,1.6367368702340306,1.0673401639591094,0.605330927911878,0.0210581574982078,0.0148760641387489,1
2005-06-15,1.4328661845034285,1.0907382010788689,0.4304415300570587,0.0563619091632318,0.0319516374692673,1
2005-06-16,1.7074096874316391,0.5012042167040982,1.2403335311781676,-0.0,0.0341280604506265,1
2005-06-20,2.1068163729424687,0.7741079179262812,1.4642058309297323,-0.0,0.1314973759135445,1
2005-06-21,1.7071171772055287,0.96084893234078,0.907894039511244,0.0911763000308584,0.0704494946156368,1
2005-06-22,1.6066616561188938,0.6809205246988103,1.0311469425980246,0.060402447740618,0.0450033634373229,1
2005-06-23,2.3057139215745903,1.8896260484544132,0.5827699317673977,0.1236905976390932,0.0429914610081276,1
2005-06-24,1.675433832077011,0.6286226571672696,1.101454889262251,0.0314351114901615,0.0232086028623481,1
2005-06-27,1.0790519112709516,0.4110742091105976,0.7089503105974997,0.0036295738118292,0.0373430346253166,1
2005-06-28,0.6706060894932832,0.4474342477328336,0.400881743985413,0.0628568068325519,0.1148530953924113,1
2005-06-29,1.326670696396513,0.905596658630653,0.5039523800751898,0.0644084620272482,0.0184698802820814,1
2005-06-30,1.443654852580938,1.3501384155880016,0.2724503211787064,0.1370451279485604,0.0418887562372094,1
2005-07-01,2.0092403296988763,1.4212439193467694,0.7737184180333967,0.1330653356428154,0.052656672038474,1
2005-07-04,0.7495501696804511,0.3350318312334672,0.6098399984994213,0.1645054320927177,0.0308162279597197,1
2005-07-05,1.2433981582231348,0.87465970777603,0.4399329764594436,0.0371228481438811,0.0340716778684576,1
2005-07-06,1.365775524728347,1.085649238379048,0.3791796806532149,0.0456275645606292,0.0534258297432869,1
