Trddt,beta,beta_n,beta_p,beta_mn,beta_mp
2005-04-08,1.1191685288349889,0.5240368812694041,0.6508315903273623,0.005397104020998914,0.050302838740778476
2005-04-11,0.7481710901222456,0.4957745193508305,0.36252782945703527,0.040085449925410334,0.07004580876020995
2005-04-12,0.5257482040895944,0.686322052972655,0.30853940373824046,0.4187539320846955,0.050359320536605565
2005-04-13,0.9601152116290128,0.5364120524712822,0.6626964671007378,0.1510191746154732,0.08797413332753391
2005-04-14,1.153953796872702,0.9399402043219051,0.34106771211597814,0.12067251719501751,0.00638160237016352
2005-04-15,0.5581670968721948,0.44565900934637087,0.38850969928214607,0.15873902921126878,0.11726258254505345
2005-04-18,0.6857409645560033,0.6037251241399526,0.44365772644748713,0.26375543288128506,0.09788645315015151
2005-04-19,0.6429039801605795,0.4976365892892304,0.39534588579247076,0.10238779174335194,0.14769070317776975
2005-04-20,1.255780283656181,1.1497393214643634,0.3036179028378322,0.09204594010621103,0.10553100053980345
2005-04-21,1.0174210940141053,0.39487178312907645,0.8659708574094988,0.15323224378049763,0.09018930274397233
2005-04-22,0.5846322611539209,0.4042612379365812,0.27331809435848986,0.04243300701839523,0.05051406412275492
2005-04-25,-0.008093907439108018,0.2589016229036202,0.3112962685378141,0.5197554218898555,0.058536376990686846
2005-04-27,0.5353195578025541,0.5331110997421218,0.32675271265265565,0.27804015030167,0.04650410429055333
2005-04-28,0.515805116120731,0.17796769051751815,0.37977927277122714,0.021536979652776386,0.020404867515238
2005-05-09,0.9676860219690313,0.8233914553046822,0.20508116966571818,0.022569580392644097,0.038217022608725004
2005-05-10,0.652713025885083,0.2840586198928236,0.5252775751025042,0.0651364672094012,0.09148670190084354
2005-05-11,1.028530326677731,0.9209005305629958,0.32058903643701797,0.08450289327735652,0.128456347044926
2005-05-12,0.5759268005306655,0.6496689311480834,0.3656401433177164,0.19664014778644776,0.24274212614868657
2005-05-13,1.4183527037119412,0.9329246270308627,0.917068184656922,0.17075627571707097,0.2608838322587722
2005-05-16,0.2771606231096462,0.5208497665786468,0.27139840083566963,0.29988696605424603,0.21520057825042424
2005-05-17,0.8837668462957405,0.3487797189079039,0.6664188650837275,0.03677324438172083,0.09465849331417
