Stkcd,Trddt,Dretwd,rf,mkt,smb,vmg,ex_ret,IVOL
1,2005-02-01,0.00495,6.1e-05,-0.001786995,-0.009614591,0.020293438,0.004889,0.0135934265106801
1,2005-02-02,0.050903,6.1e-05,0.053861164,0.001430789,-0.004379409,0.050842,0.0130861902442025
1,2005-02-03,-0.014063,6.1e-05,-0.01286026,-0.007421047,0.012891734,-0.014124,0.0130076551494691
1,2005-02-04,0.045959,6.1e-05,0.021968679,-0.003970836,0.008345656,0.045898,0.0115129823016471
1,2005-02-16,-0.001515,6.1e-05,0.008947523,0.004301928,-0.007484606,-0.001576,0.0115435042226429
1,2005-02-17,-0.004552,6.1e-05,-0.001532365,0.003924252,-0.01486163,-0.004613,0.0118044944697495
1,2005-02-18,0.006098,6.1e-05,-0.013161252,0.003062393,0.000262357,0.006037,0.0129634899143556
1,2005-02-21,0.016667,6.1e-05,0.019981889,0.001279338,0.004577233,0.016606,0.0130515491744816
1,2005-02-22,0.004471,6.1e-05,0.021230679,0.00494024,-0.005327541,0.00441,0.0135435756913264
1,2005-02-23,-0.010386,6.1e-05,0.001767936,0.011111021,-0.007948133,-0.010447,0.0135487608208405
1,2005-02-24,-0.005997,6.1e-05,0.00097405,0.00288932,-0.002905736,-0.006058,0.0135487065680145
1,2005-02-25,0.001508,6.1e-05,0.001189484,-0.001087485,0.007197254,0.001447,0.0135357381157314
1,2005-02-28,-0.024096,6.1e-05,-0.003871005,0.001357018,0.000881711,-0.0241569999999999,0.0139931649090453
1,2005-03-01,-0.012346,6.1e-05,-0.001709993,0.005881294,-0.002890347,-0.012407,0.0116150173464537
1,2005-03-02,-0.003125,6.1e-05,-0.012835365,-0.000718595,0.000886582,-0.003186,0.0120019354959009
1,2005-03-03,0.009404,6.1e-05,0.005714798,-0.000708427,0.001930197,0.0093429999999999,0.0103994879060368
1,2005-03-04,-0.012422,6.1e-05,-0.004921616,-0.003889857,0.004590787,-0.012483,0.0102892645695068
1,2005-03-07,-0.018868,6.1e-05,0.005419923,-0.0037294,0.002376783,-0.0189289999999999,0.0115420441617678
1,2005-03-08,0.017628,6.1e-05,0.019742722,0.002346449,0.001449825,0.017567,0.0112202162428131
1,2005-03-09,-0.009449,6.1e-05,-0.000164231,0.005005013,-0.002756225,-0.00951,0.0111352054804424
1,2005-03-10,-0.020668,6.1e-05,-0.02390989,-0.003630954,0.003315627,-0.0207289999999999,0.0111705765019925
1,2005-03-11,-0.006494,6.1e-05,0.003535606,-0.001250783,-0.002380836,-0.006555,0.011143844159562
1,2005-03-14,-0.006536,6.1e-05,0.002532684,-0.012824218,0.007116173,-0.006597,0.0111188528461655
1,2005-03-15,-0.014803,6.1e-05,-0.017459862,0.004075936,-0.004882653,-0.014864,0.0087650049841814
1,2005-03-16,-0.010017,6.1e-05,-0.010269465,0.001946274,2.08e-05,-0.010078,0.0087641127367022
1,2005-03-17,0.006745,6.1e-05,-0.009928026,-0.006370911,0.000938706,0.006684,0.0095550274175614
1,2005-03-18,-0.0067,6.1e-05,-0.014658297,-0.006731451,0.011044597,-0.006761,0.0086587779053129
1,2005-03-21,0.001686,6.1e-05,0.00318998,-0.000548373,0.007720519,0.001625,0.0084811882011745
1,2005-03-22,-0.06734,6.1e-05,-0.01942506,-0.018618011,0.014503719,-0.067401,0.013116319192545
1,2005-03-23,-0.032491,6.1e-05,-0.003175152,0.00462463,6.39e-05,-0.032552,0.0142051713744062
1,2005-03-24,0.007463,6.1e-05,0.006264956,0.008178769,-0.007984813,0.007402,0.0141881803478561
1,2005-03-25,0.0,6.1e-05,-0.00146965,-0.000147057,0.00340825,-6.1e-05,0.0141508951101789
1,2005-03-28,-0.018519,6.1e-05,-0.004471967,-0.007922597,0.007908326,-0.01858,0.0136574492617695
1,2005-03-29,0.0,6.1e-05,-0.004225143,0.000382848,0.002462414,-6.1e-05,0.0135000538468234
1,2005-03-30,-0.037736,6.1e-05,-0.019831901,-0.015702699,0.007986922,-0.037797,0.0132314045823394
1,2005-03-31,0.021569,6.1e-05,0.008344305,0.003343072,-0.005464412,0.021508,0.0134197649785589
1,2005-04-01,0.074856,6.1e-05,0.037330793,-0.003983434,-9.04e-05,0.074795,0.0155117396157804
1,2005-04-04,-0.032143,6.1e-05,-0.016334999,-0.00408528,0.001528007,-0.0322039999999999,0.014569794454729
1,2005-04-05,0.012915,6.1e-05,-0.007916403,-0.000405166,0.004664668,0.0128539999999999,0.0155242179143484
1,2005-04-06,0.021858,6.1e-05,0.019342189,-0.005516293,0.006398292,0.021797,0.015179712279329
